source,path,value_types_and_observations,backend_retention_audit
match,info.participants[].allInPings,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].assistMePings,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].assists,"{""int"": 10}",Used by active match parser / mapped to persisted participant
match,info.participants[].baronKills,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].basicPings,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.12AssistStreakCount,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.HealFromMapSources,"{""float"": 1, ""int"": 9}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.InfernalScalePickup,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.SWARM_DefeatAatrox,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.SWARM_DefeatBriar,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.SWARM_DefeatMiniBosses,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.SWARM_EvolveWeapon,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.SWARM_Have3Passives,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.SWARM_KillEnemy,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.SWARM_PickupGold,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.SWARM_ReachLevel50,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.SWARM_Survive15Min,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.SWARM_WinWith5EvolvedWeapons,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.abilityUses,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.acesBefore15Minutes,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.alliedJungleMonsterKills,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.baronTakedowns,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.blastConeOppositeOpponentCount,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.bountyGold,"{""float"": 3, ""int"": 7}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.buffsStolen,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.completeSupportQuestInTime,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.controlWardTimeCoverageInRiverOrEnemyHalf,"{""float"": 4}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.controlWardsPlaced,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.damagePerMinute,"{""float"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.damageTakenOnTeamPercentage,"{""float"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.dancedWithRiftHerald,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.deathsByEnemyChamps,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.dodgeSkillShotsSmallWindow,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.doubleAces,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.dragonTakedowns,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.earliestBaron,"{""float"": 5}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.earliestDragonTakedown,"{""float"": 5}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.earlyLaningPhaseGoldExpAdvantage,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.effectiveHealAndShielding,"{""float"": 4, ""int"": 6}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.elderDragonKillsWithOpposingSoul,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.elderDragonMultikills,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.enemyChampionImmobilizations,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.enemyJungleMonsterKills,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.epicMonsterKillsNearEnemyJungler,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.epicMonsterKillsWithin30SecondsOfSpawn,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.epicMonsterSteals,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.epicMonsterStolenWithoutSmite,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.fasterSupportQuestCompletion,"{""int"": 1}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.fastestLegendary,"{""float"": 2}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.firstTurretKilled,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.firstTurretKilledTime,"{""float"": 5}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.fistBumpParticipation,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.flawlessAces,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.fullTeamTakedown,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.gameLength,"{""float"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.getTakedownsInAllLanesEarlyJungleAsLaner,"{""int"": 8}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.goldPerMinute,"{""float"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.hadOpenNexus,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.highestChampionDamage,"{""int"": 1}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.highestCrowdControlScore,"{""int"": 1}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.highestWardKills,"{""int"": 1}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.immobilizeAndKillWithAlly,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.initialBuffCount,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.initialCrabCount,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.jungleCsBefore10Minutes,"{""float"": 2, ""int"": 8}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.junglerKillsEarlyJungle,"{""int"": 2}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.junglerTakedownsNearDamagedEpicMonster,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.kTurretsDestroyedBeforePlatesFall,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.kda,"{""float"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.killAfterHiddenWithAlly,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.killParticipation,"{""float"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.killedChampTookFullTeamDamageSurvived,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.killingSprees,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.killsNearEnemyTurret,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.killsOnLanersEarlyJungleAsJungler,"{""int"": 2}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.killsOnOtherLanesEarlyJungleAsLaner,"{""int"": 8}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.killsOnRecentlyHealedByAramPack,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.killsUnderOwnTurret,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.killsWithHelpFromEpicMonster,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.knockEnemyIntoTeamAndKill,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.landSkillShotsEarlyGame,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.laneMinionsFirst10Minutes,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.laningPhaseGoldExpAdvantage,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.legendaryCount,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.legendaryItemUsed[],"{""int"": 45}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.lostAnInhibitor,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.maxCsAdvantageOnLaneOpponent,"{""float"": 5, ""int"": 5}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.maxKillDeficit,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.maxLevelLeadLaneOpponent,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.mejaisFullStackInTime,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.moreEnemyJungleThanOpponent,"{""float"": 2, ""int"": 8}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.multiKillOneSpell,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.multiTurretRiftHeraldCount,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.multikills,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.multikillsAfterAggressiveFlash,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.outerTurretExecutesBefore10Minutes,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.outnumberedKills,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.outnumberedNexusKill,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.perfectDragonSoulsTaken,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.perfectGame,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.pickKillWithAlly,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.playedChampSelectPosition,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.poroExplosions,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.quickCleanse,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.quickFirstTurret,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.quickSoloKills,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.riftHeraldTakedowns,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.saveAllyFromDeath,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.scuttleCrabKills,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.shortestTimeToAceFromFirstTakedown,"{""float"": 4}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.skillshotsDodged,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.skillshotsHit,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.snowballsHit,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.soloBaronKills,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.soloKills,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.soloTurretsLategame,"{""int"": 1}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.stealthWardsPlaced,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.survivedSingleDigitHpCount,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.survivedThreeImmobilizesInFight,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.takedownOnFirstTurret,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.takedowns,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.takedownsAfterGainingLevelAdvantage,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.takedownsBeforeJungleMinionSpawn,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.takedownsFirstXMinutes,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.takedownsInAlcove,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.takedownsInEnemyFountain,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.teamBaronKills,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.teamDamagePercentage,"{""float"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.teamElderDragonKills,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.teamRiftHeraldKills,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.tookLargeDamageSurvived,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.turretPlatesTaken,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.turretTakedowns,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.turretsTakenWithRiftHerald,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.twentyMinionsIn3SecondsCount,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.twoWardsOneSweeperCount,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.unseenRecalls,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.visionScoreAdvantageLaneOpponent,"{""float"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.visionScorePerMinute,"{""float"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.voidMonsterKill,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.wardTakedowns,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.wardTakedownsBefore20M,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].challenges.wardsGuarded,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].champExperience,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].champLevel,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].championId,"{""int"": 10}",Used by active match parser / mapped to persisted participant
match,info.participants[].championName,"{""str"": 10}",Used by active match parser / mapped to persisted participant
match,info.participants[].championTransform,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].commandPings,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].consumablesPurchased,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].damageDealtToBuildings,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].damageDealtToEpicMonsters,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].damageDealtToObjectives,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].damageDealtToTurrets,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].damageSelfMitigated,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].dangerPings,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].deaths,"{""int"": 10}",Used by active match parser / mapped to persisted participant
match,info.participants[].detectorWardsPlaced,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].doubleKills,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].dragonKills,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].eligibleForProgression,"{""bool"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].enemyMissingPings,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].enemyVisionPings,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].firstBloodAssist,"{""bool"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].firstBloodKill,"{""bool"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].firstTowerAssist,"{""bool"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].firstTowerKill,"{""bool"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].gameEndedInEarlySurrender,"{""bool"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].gameEndedInSurrender,"{""bool"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].getBackPings,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].goldEarned,"{""int"": 10}",Used by active match parser / mapped to persisted participant
match,info.participants[].goldSpent,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].holdPings,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].individualPosition,"{""str"": 10}",Used by active match parser / mapped to persisted participant
match,info.participants[].inhibitorKills,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].inhibitorTakedowns,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].inhibitorsLost,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].item0,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].item1,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].item2,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].item3,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].item4,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].item5,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].item6,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].itemsPurchased,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].killingSprees,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].kills,"{""int"": 10}",Used by active match parser / mapped to persisted participant
match,info.participants[].lane,"{""str"": 10}",Used by active match parser / mapped to persisted participant
match,info.participants[].largestCriticalStrike,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].largestKillingSpree,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].largestMultiKill,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].longestTimeSpentLiving,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].magicDamageDealt,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].magicDamageDealtToChampions,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].magicDamageTaken,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].missions.playerScore0,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].missions.playerScore1,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].missions.playerScore10,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].missions.playerScore11,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].missions.playerScore2,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].missions.playerScore3,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].missions.playerScore4,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].missions.playerScore5,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].missions.playerScore6,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].missions.playerScore7,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].missions.playerScore8,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].missions.playerScore9,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].needVisionPings,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].neutralMinionsKilled,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].nexusKills,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].nexusLost,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].nexusTakedowns,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].objectivesStolen,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].objectivesStolenAssists,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].onMyWayPings,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].participantId,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].pentaKills,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].perks.statPerks.defense,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].perks.statPerks.flex,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].perks.statPerks.offense,"{""int"": 10}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].perks.styles[].description,"{""str"": 20}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].perks.styles[].selections[].perk,"{""int"": 60}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].perks.styles[].selections[].var1,"{""int"": 60}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].perks.styles[].selections[].var2,"{""int"": 60}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].perks.styles[].selections[].var3,"{""int"": 60}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].perks.styles[].style,"{""int"": 20}",Stored as JSON; no dedicated analytical use of this field identified
match,info.participants[].physicalDamageDealt,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].physicalDamageDealtToChampions,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].physicalDamageTaken,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].placement,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
match,info.participants[].playerAugment1,"{""int"": 10}",Not retained from this match field by active parser; some equivalents may exist in timeline/challenges
